FLAG_NM,FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,HMPG_URL,TEL_NO,BASE_DE
와인바,서프테이블,강원도 강릉시 경강로 2107,42,42150,128.896562,37.755733,강원,https://www.instagram.com/surf_table/,033-646-3642,2021-12-31
와인바,미트컬쳐,강원도 강릉시 경강로 2629 1층,42,42150,128.946794,37.772144,강원,,010-2395-5439,2021-12-31
와인바,민트,강원도 강릉시 경강로2018번길 25,42,42150,128.892734,37.75077,강원,,010-2563-6446,2021-12-31
와인바,라몬타냐,강원도 강릉시 관솔길12번길 27-7,42,42150,128.867946,37.738665,강원,instagram.com/la_montagna_pizza?igshid=1sdy2lrz7y9av,033-646-7077,2021-12-31
와인바,한우작,강원도 강릉시 교동광장로100번길 18-4 한우작,42,42150,128.876814,37.766198,강원,instagram.com/wawarwa13,033-920-7333,2021-12-31
와인바,테루아르,강원도 강릉시 구정면 수목원길 76-35,42,42150,128.865307,37.701022,강원,,010-3353-3575,2021-12-31
와인바,강릉한우백화점,강원도 강릉시 구정면 회산로 92,42,42150,128.848514,37.723075,강원,blog.naver.com/ojh8583,033-641-1122,2021-12-31
와인바,오스테리아 피어86,강원도 강릉시 사천면 진리항구길 19 2층,42,42150,128.874556,37.835602,강원,www.instagram.com/osteria_porto86,010-2850-8318,2021-12-31
와인바,상호상사(와인&차마켓),강원도 강릉시 성덕로 328-15,42,42150,128.918747,37.753805,강원,,033-653-0780,2021-12-31
와인바,짠,강원도 강릉시 옥천로65번길 18,42,42150,128.89791,37.75838,강원,,033-647-2207,2021-12-31
와인바,대나무통와인삼겹살ZZAN강릉본점,강원도 강릉시 옥천로65번길 18,42,42150,128.89791,37.75838,강원,,,2021-12-31
와인바,빠스따보니따,강원도 강릉시 주문진읍 해안로 1667 2층,42,42150,128.829961,37.883867,강원,instagram.com/pastabonita,033-662-4545,2021-12-31
와인바,썸머키친,강원도 강릉시 죽헌길 67-6,42,42150,128.875079,37.77496,강원,instagram.com/summerkitchen,070-7724-5636,2021-12-31
와인바,홍스쿡샵,강원도 강릉시 하슬라로206번길 11-7,42,42150,128.877024,37.768575,강원,gn3265.modoo.at/,033-642-3265,2021-12-31
와인바,안드로메다,강원도 강릉시 하슬라로20번길 8,42,42150,128.879824,37.755832,강원,instagram.com/caffeandromeda_official,033-655-0999,2021-12-31
와인바,안드로메다,강원도 강릉시 하슬라로20번길 8,42,42150,128.879824,37.755832,강원도,instagram.com/caffeandromeda_official,033-655-0999,2021-12-31
와인바,코와붕가,강원도 강릉시 하슬라로232번길 13-2,42,42150,128.877537,37.770707,강원,http://www.instagram.com/kohwabunga,033-920-7991,2021-12-31
와인바,쿠켄,강원도 강릉시 홍제로 7-11,42,42150,128.88539,37.748681,강원,,033-643-7500,2021-12-31
와인바,GRANMA,강원도 강릉시 화부산로 91,42,42150,128.888029,37.764366,강원,,,2021-12-31
와인바,Coffee앤,강원도 강릉시 화부산로 96,42,42150,128.888436,37.764228,강원,coffeebarn.modoo.at,,2021-12-31
와인바,나폴리묵호,강원도 동해시 일출로 88 수협수산물유통센터 3층,42,42170,129.11723,37.551542,강원,mukhonapoli.com,033-534-7391,2021-12-31
와인바,보나베띠 동해점,강원도 동해시 평릉길 1 뉴동해관광호텔,42,42170,129.103077,37.526509,강원,www.ndhbona.com/,033-533-1388,2021-12-31
와인바,농부네화덕,강원도 동해시 평원5길 1 (농부네화덕),42,42170,129.11731,37.52888,강원,,033-521-9889,2021-12-31
와인바,J카페,강원도 동해시 항골길 94 1층,42,42170,129.097534,37.525795,강원,www.tshome.co.kr/0335343934/,033-534-3934,2021-12-31
와인바,너와머루와인,강원도 삼척시 도계읍 문의재로 1129,42,42230,129.130291,37.183633,강원,,033-554-3560,2021-12-31
와인바,삼척너와머루와인공감,강원도 삼척시 도계읍 문의재로 1274,42,42230,129.132372,37.191011,강원,,,2021-12-31
와인바,삼척너와머루와인공장입구,강원도 삼척시 도계읍 신리,42,42230,129.130922,37.198,강원,,,2021-12-31
와인바,루프탑9,강원도 속초시 대포항길 186 롯데리조트속초 콘도동 9층 루프탑9,42,42210,128.611015,38.180623,서울,https://www.instagram.com/fnc_cook,033-634-1280,2021-12-31
와인바,와인하우스,강원도 속초시 동해대로 3931,42,42210,128.600899,38.185865,강원,,033-635-1110,2021-12-31
와인바,라돌체비타,강원도 속초시 먹거리5길 19,42,42210,128.573239,38.195769,강원,,033-637-7757,2021-12-31
와인바,애비로드,강원도 속초시 설악산로 998,42,42210,128.499274,38.172808,강원,www.kensington.co.kr/korean/,033-635-4001,2021-12-31
와인바,일라고,강원도 속초시 영랑호반길 575 인트라움 상가 103  104호,42,42210,128.584332,38.222518,강원,,033-633-8525,2021-12-31
와인바,완앤송 하우스 레스토랑,강원도 속초시 장사동 632-250,42,42210,128.589339,38.221619,강원,www.facebook.com/Wan-song-839781959440528/,033-635-3437,2021-12-31
와인바,제제네 식탁,강원도 속초시 조양로105번길 12,42,42210,128.588686,38.185999,강원,www.instagram.com/slowplate,010-9669-4125,2021-12-31
와인바,숲속애,강원도 양구군 양구읍 황강길 25-14,42,42800,127.999803,38.089898,강원,blog.naver.com/fkd3212,033-481-7774,2021-12-31
와인바,포션,강원도 양양군 현남면 인구중앙길 79 파도빌딩 Potion,42,42830,128.759538,37.971478,강원,www.instagram.com/potion_cafe/,031-4899-3355,2021-12-31
와인바,포션,강원도 양양군 현남면 인구중앙길 79 파도빌딩 Potion,42,42830,128.759538,37.971478,강원도,instagram.com/caffeandromeda_official,033-655-0999,2021-12-31
와인바,예밀와이너리,강원도 영월군 김삿갓면 예밀촌길 237 와인체험관,42,42750,128.590892,37.142504,강원,,,2021-12-31
와인바,오롯한 한그릇,강원도 영월군 영월읍 제방안길 16-1 중앙시장 2층 203호,42,42750,128.471308,37.18287,강원,6ks2mr.blog.me,070-4178-4882,2021-12-31
와인바,와이카페,강원도 영월군 영월읍 팔괴로 59-15,42,42750,128.458854,37.170249,강원,www.facebook.com/youngwolcafe/,010-3350-6238,2021-12-31
와인바,산티아고,강원도 원주시 감영길 52,42,42130,127.952365,37.348459,강원,,033-732-8023,2021-12-31
와인바,마야램,강원도 원주시 나비허리길 88,42,42130,127.960968,37.322357,강원,www.xn--xj2b83b29r.kr/,033-764-0092,2021-12-31
와인바,비스트로미 단구점,강원도 원주시 남원로534번길 6 이룸빌딩 3층,42,42130,127.947433,37.331102,강원,www.facebook.com/bistrome/,033-765-2103,2021-12-31
와인바,롤링스톤,강원도 원주시 능라동길 72,42,42130,127.929703,37.333516,강원,,010-8846-1971,2021-12-31
와인바,브레인퍼브,강원도 원주시 단구로 354-1 202호,42,42130,127.957762,37.324681,강원,,033-763-0121,2021-12-31
와인바,욜크,강원도 원주시 만대공원길 50,42,42130,127.925736,37.33929,강원,www.instagram.com/yolkceo/,033-742-1972,2021-12-31
와인바,갓포젠젠,강원도 원주시 무실본동길 14 1층,42,42130,127.931629,37.337176,강원,zenzen14.modoo.at,033-744-3334,2021-12-31
와인바,구구삼 BAR,강원도 원주시 백간공원길 10-3,42,42130,127.927657,37.349059,강원,,033-742-6993,2021-12-31
와인바,와인11,강원도 원주시 백간공원길 11-6,42,42130,127.925445,37.348616,강원,www.instagram.com/wine_11/,033-744-5452,2021-12-31
